review_id,hotel_id,review_text
71,2002,Exceeded my expectations. The Cleanliness was a big part of our experience.
72,2002,Product broke after one use. The Location was a big part of our experience.
73,2002,Best purchase I've made this year. The Facilities was a big part of our experience.
74,2003,Great value for the price. The Facilities was a big part of our experience.
75,2003,Not worth the money. The Free WiFi was a big part of our experience.
76,2002,I would definitely buy again. The Facilities was a big part of our experience.
77,2003,Best purchase I've made this year. The Staff was a big part of our experience.
78,2001,Average experience. The Cleanliness was a big part of our experience.
79,2005,No major complaints or praise. The Facilities was a big part of our experience.
80,2002,"Five stars, no complaints. The Value for money was a big part of our experience."
81,2005,"Five stars, no complaints. The Cleanliness was a big part of our experience."
82,2003,Completely dissatisfied. The Free WiFi was a big part of our experience.
83,2005,I regret buying this. The Location was a big part of our experience.
84,2004,Worst product I’ve purchased. The Facilities was a big part of our experience.
85,2002,I would definitely buy again. The Location was a big part of our experience.
86,2004,Terrible customer service. The Free WiFi was a big part of our experience.
87,2004,It works as expected. The Free WiFi was a big part of our experience.
88,2003,Brilliant design and easy to use. The Staff was a big part of our experience.
89,2002,Great value for the price. The Facilities was a big part of our experience.
90,2004,Great value for the price. The Facilities was a big part of our experience.
91,2005,No major complaints or praise. The Staff was a big part of our experience.
92,2003,"Product is fine, does the job. The Facilities was a big part of our experience."
93,2001,Wouldn’t buy this again. The Location was a big part of our experience.
94,2002,Service was neither good nor bad. The Location was a big part of our experience.
95,2003,Fantastic service and quality. The Cleanliness was a big part of our experience.
96,2002,Brilliant design and easy to use. The Free WiFi was a big part of our experience.
97,2002,Average experience. The Staff was a big part of our experience.
98,2002,Decent but not remarkable. The Facilities was a big part of our experience.
99,2005,Didn't meet expectations at all. The Free WiFi was a big part of our experience.
100,2005,Meets the basic requirements. The Free WiFi was a big part of our experience.
